Zeit;Temperatur;Luftfeuchte;CO2;eCO2;TVOC;PM1;PM2.5;PM4;PM10
1701.092;29.472267;25.320454;263.9091;400;16.454546;0;0;0;0
1706.154;29.525915;26.404997;269.31818;400;10.045455;0;0;0;0
1711.161;29.538183;26.512728;298;400;16.5;0;0;0;0
1716.168;29.56;26.239996;432.18182;400;26.954546;0;0;0;0
1721.177;29.575;25.985907;477.0909;400;23.318182;0;0;0;0
1726.199;29.599548;25.675909;466.68182;400;16.954546;0;0;0;0
1731.221;29.614538;25.174995;421.13635;400;18;0;0;0;0
1736.482;29.62864;25.004091;349.86365;400;18.5;0;0;0;0
1741.619;29.62173;25.07044;324.17392;400;11.869565;0;0;0;0
1746.652;29.606512;25.064352;311.65216;400;9.043478;0;0;0;0
1751.68;29.571815;25.003181;304.18182;400;9.409091;0;0;0;0
1756.709;29.566368;24.969093;302.72726;400;7.0454545;0;0;0;0
1761.758;29.570906;24.954998;298.22726;400;3.4545455;0;0;0;0
1766.933;29.564093;24.919548;291;400;3.1363637;0;0;0;0
1771.978;29.553047;24.890001;286.73914;400;4.869565;0;0;0;0
1777.005;29.570005;24.890911;282.45456;400;7.9545455;0;0;0;0
1782.042;29.561363;24.874548;279.27274;400;12.909091;0;0;0;0
1787.072;29.574091;24.869995;274.77274;400;11.545455;0;0;0;0
1792.241;29.585915;24.864546;268.04544;400;11.636364;0;0;0;0
1797.454;29.576086;24.840435;260.47827;400;7.9130435;0;0;0;0
1802.496;29.602602;24.807829;255.17392;400;9.043478;0;0;0;0
1807.568;29.594551;24.798182;250.22728;400;12.454545;0;0;0;0
1812.752;29.599998;24.76364;245.36363;400;7.590909;0;0;0;0
1817.828;29.604342;24.737394;244.65218;400;8.434783;0;0;0;0
1822.975;29.599998;24.71;240.40909;400;12.772727;0;0;0;0
1828.064;29.608252;24.713047;239;400;14.434783;0;0;0;0
1833.278;29.615454;24.687733;240.09091;400;14.090909;0;0;0;0
1838.326;29.629131;24.707827;240.73914;400;12.565217;0;0;0;0
1843.491;29.63864;24.697271;238.77272;400;10.181818;0;0;0;0
1848.58;29.630865;24.739992;237.60869;400;5.695652;0;0;0;0
1853.74;29.65501;24.734089;235.68182;400;8.590909;0;0;0;0
1858.815;29.613916;25.066963;234.39131;400;7.0434785;0;0;0;0
1863.987;29.565002;25.335913;236.68182;400;5.5454545;0;0;0;0
1869.062;29.515211;25.452175;240.60869;400;12.695652;0;0;0;0
1874.29;29.451813;25.497725;250.13637;400;15.181818;0;0;0;0
1879.341;29.398697;25.596525;295.78262;400;22.130434;0;0;0;0
1884.533;29.360907;25.702728;298.36365;400;25.09091;0;0;0;0
1889.598;29.31739;25.633043;293.0435;400;26.26087;0;0;0;0
1894.778;29.294542;25.841822;300.81818;400;25.363636;0;0;0;0
1899.974;29.260004;26.385218;312;400;26.434782;0;0;0;0
1905.055;29.229567;26.07522;323.9565;400;29.173914;0;0;0;0
1910.083;29.20182;26.008184;330.72726;400;35.363636;0;0;0;0
1915.29;29.18091;26.103638;336;400;37.81818;0;0;0;0
1920.302;29.16565;26.183474;339.73914;400;39;0;0;0;0
1925.383;29.162731;26.326824;342;400;39.68182;0;0;0;0
1930.594;29.113634;26.097273;343;400;36.81818;0;0;0;0
1935.8;29.095661;26.003914;343.56522;400;36.47826;0;0;0;0
1940.801;29.076963;25.969135;342.43478;400;39.739132;0;0;0;0
1945.87;29.064087;25.995909;339.5;400;37.909092;0;0;0;0
1951.034;29.055452;26.079998;336.31818;400;37.363636;0;0;0;0
1956.041;29.03609;26.121302;332.0435;400;30.608696;0;0;0;0
1961.079;29.02182;26.109999;322.81818;400;32.045456;0;0;0;0
1966.107;29.01546;26.234999;315;400;29.5;0;0;0;0
1971.126;28.99954;26.328186;316.95456;400;32.909092;0;0;0;0
1976.323;28.977722;26.36454;317.77274;400;34.590908;0;0;0;0
1981.375;28.966524;26.21087;315.0435;400;37.391304;0;0;0;0
1986.421;28.951372;26.180004;316;400;35.136364;0;0;0;0
1991.458;28.95818;26.281818;317.45456;400;28.772728;0;0;0;0
1996.629;28.942274;26.349543;316.68182;400;31.40909;0;0;0;0
2001.68;28.930439;26.352608;315.52173;400;36.739132;0;0;0;0
2006.869;28.927269;26.241816;314.81818;400;33.68182;0;0;0;0
2011.897;28.899569;26.197823;314;400;38.260868;0;0;0;0
2016.93;28.894997;26.18409;313.5;400;38.409092;0;0;0;0
2021.995;28.898191;26.247272;312.4091;400;37.5;0;0;0;0
2027.182;28.88546;26.249998;312;400;38.272728;0;0;0;0
2032.367;28.881308;26.263914;310.65216;400;40.173912;0;0;0;0
